bd872b00 bf61cac1 (-0.066000, -0.882000) :1b
bd75c290 bf61cac1 (-0.060000, -0.882000) :2a
bd5d2f20 bf61cac1 (-0.054000, -0.882000) :11
bd449ba0 bf61cac1 (-0.048000, -0.882000) :e
be810625 bf604189 (-0.252000, -0.876000) :b
be7be76c bf604189 (-0.246000, -0.876000) :12
be75c290 bf604189 (-0.240000, -0.876000) :17
be6f9db0 bf604189 (-0.234000, -0.876000) :d
be6978d4 bf604189 (-0.228000, -0.876000) :d
be6353f8 bf604189 (-0.222000, -0.876000) :b
be5d2f1c bf604189 (-0.216000, -0.876000) :b
be570a3c bf604189 (-0.210000, -0.876000) :b
be50e560 bf604189 (-0.204000, -0.876000) :b
be4ac084 bf604189 (-0.198000, -0.876000) :b
be449ba4 bf604189 (-0.192000, -0.876000) :b
be3e76c8 bf604189 (-0.186000, -0.876000) :b
be3851ec bf604189 (-0.180000, -0.876000) :c
be322d10 bf604189 (-0.174000, -0.876000) :d
be2c0830 bf604189 (-0.168000, -0.876000) :e
be25e354 bf604189 (-0.162000, -0.876000) :f
be1fbe78 bf604189 (-0.156000, -0.876000) :12
be199998 bf604189 (-0.150000, -0.876000) :14
be1374bc bf604189 (-0.144000, -0.876000) :1b
be0d4fe0 bf604189 (-0.138000, -0.876000) :34
be072b00 bf604189 (-0.132000, -0.876000) :ff
be010624 bf604189 (-0.126000, -0.876000) :ff
bdf5c290 bf604189 (-0.120000, -0.876000) :ff
bde978d8 bf604189 (-0.114000, -0.876000) :ff
bddd2f18 bf604189 (-0.108000, -0.876000) :ff
bdd0e560 bf604189 (-0.102000, -0.876000) :ff
bdc49ba8 bf604189 (-0.096000, -0.876000) :56
bdb851e8 bf604189 (-0.090000, -0.876000) :30
bdac0830 bf604189 (-0.084000, -0.876000) :71
bd9fbe78 bf604189 (-0.078000, -0.876000) :1a
bd9374b8 bf604189 (-0.072000, -0.876000) :19
bd872b00 bf604189 (-0.066000, -0.876000) :11
bd75c290 bf604189 (-0.060000, -0.876000) :11
bd5d2f20 bf604189 (-0.054000, -0.876000) :1a
bd449ba0 bf604189 (-0.048000, -0.876000) :c
bd2c0830 bf604189 (-0.042000, -0.876000) :b
be810625 bf5eb852 (-0.252000, -0.870000) :c
be7be76c bf5eb852 (-0.246000, -0.870000) :f
be75c290 bf5eb852 (-0.240000, -0.870000) :2b
be6f9db0 bf5eb852 (-0.234000, -0.870000) :1f
be6978d4 bf5eb852 (-0.228000, -0.870000) :12
be6353f8 bf5eb852 (-0.222000, -0.870000) :c
be5d2f1c bf5eb852 (-0.216000, -0.870000) :c
be570a3c bf5eb852 (-0.210000, -0.870000) :b
be50e560 bf5eb852 (-0.204000, -0.870000) :b
be4ac084 bf5eb852 (-0.198000, -0.870000) :b
be449ba4 bf5eb852 (-0.192000, -0.870000) :b
be3e76c8 bf5eb852 (-0.186000, -0.870000) :c
be3851ec bf5eb852 (-0.180000, -0.870000) :d
be322d10 bf5eb852 (-0.174000, -0.870000) :d
be2c0830 bf5eb852 (-0.168000, -0.870000) :e
be25e354 bf5eb852 (-0.162000, -0.870000) :10
be1fbe78 bf5eb852 (-0.156000, -0.870000) :14
be199998 bf5eb852 (-0.150000, -0.870000) :47
be1374bc bf5eb852 (-0.144000, -0.870000) :27
be0d4fe0 bf5eb852 (-0.138000, -0.870000) :44
be072b00 bf5eb852 (-0.132000, -0.870000) :ff
be010624 bf5eb852 (-0.126000, -0.870000) :ff
bdf5c290 bf5eb852 (-0.120000, -0.870000) :ff
bde978d8 bf5eb852 (-0.114000, -0.870000) :ff
bddd2f18 bf5eb852 (-0.108000, -0.870000) :ff
bdd0e560 bf5eb852 (-0.102000, -0.870000) :ff
bdc49ba8 bf5eb852 (-0.096000, -0.870000) :ff
bdb851e8 bf5eb852 (-0.090000, -0.870000) :ff
bdac0830 bf5eb852 (-0.084000, -0.870000) :26
bd9fbe78 bf5eb852 (-0.078000, -0.870000) :16
bd9374b8 bf5eb852 (-0.072000, -0.870000) :12
bd872b00 bf5eb852 (-0.066000, -0.870000) :10
bd75c290 bf5eb852 (-0.060000, -0.870000) :f
bd5d2f20 bf5eb852 (-0.054000, -0.870000) :d
bd449ba0 bf5eb852 (-0.048000, -0.870000) :c
bd2c0830 bf5eb852 (-0.042000, -0.870000) :b
3cc49ba0 bf5eb852 (0.024000, -0.870000) :b
3cf5c2a0 bf5eb852 (0.030000, -0.870000) :c
be841893 bf5d2f1b (-0.258000, -0.864000) :b
be810625 bf5d2f1b (-0.252000, -0.864000) :c
be7be76c bf5d2f1b (-0.246000, -0.864000) :e
be75c290 bf5d2f1b (-0.240000, -0.864000) :13
be6f9db0 bf5d2f1b (-0.234000, -0.864000) :23
be6978d4 bf5d2f1b (-0.228000, -0.864000) :10
be6353f8 bf5d2f1b (-0.222000, -0.864000) :d
be5d2f1c bf5d2f1b (-0.216000, -0.864000) :c
be570a3c bf5d2f1b (-0.210000, -0.864000) :c
be50e560 bf5d2f1b (-0.204000, -0.864000) :c
be4ac084 bf5d2f1b (-0.198000, -0.864000) :c
be449ba4 bf5d2f1b (-0.192000, -0.864000) :c
be3e76c8 bf5d2f1b (-0.186000, -0.864000) :d
be3851ec bf5d2f1b (-0.180000, -0.864000) :e
be322d10 bf5d2f1b (-0.174000, -0.864000) :f
be2c0830 bf5d2f1b (-0.168000, -0.864000) :f
be25e354 bf5d2f1b (-0.162000, -0.864000) :11
be1fbe78 bf5d2f1b (-0.156000, -0.864000) :17
be199998 bf5d2f1b (-0.150000, -0.864000) :17
be1374bc bf5d2f1b (-0.144000, -0.864000) :21
be0d4fe0 bf5d2f1b (-0.138000, -0.864000) :ff
be072b00 bf5d2f1b (-0.132000, -0.864000) :ff
be010624 bf5d2f1b (-0.126000, -0.864000) :ff
bdf5c290 bf5d2f1b (-0.120000, -0.864000) :ff
bde978d8 bf5d2f1b (-0.114000, -0.864000) :ff
bddd2f18 bf5d2f1b (-0.108000, -0.864000) :ff
bdd0e560 bf5d2f1b (-0.102000, -0.864000) :ff
bdc49ba8 bf5d2f1b (-0.096000, -0.864000) :ff
bdb851e8 bf5d2f1b (-0.090000, -0.864000) :ad
bdac0830 bf5d2f1b (-0.084000, -0.864000) :27
bd9fbe78 bf5d2f1b (-0.078000, -0.864000) :18
bd9374b8 bf5d2f1b (-0.072000, -0.864000) :42
bd872b00 bf5d2f1b (-0.066000, -0.864000) :10
bd75c290 bf5d2f1b (-0.060000, -0.864000) :e
bd5d2f20 bf5d2f1b (-0.054000, -0.864000) :d
bd449ba0 bf5d2f1b (-0.048000, -0.864000) :c
bd2c0830 bf5d2f1b (-0.042000, -0.864000) :b
bd1374c0 bf5d2f1b (-0.036000, -0.864000) :b
3c9374c0 bf5d2f1b (0.018000, -0.864000) :b
3cc49ba0 bf5d2f1b (0.024000, -0.864000) :12
3cf5c2a0 bf5d2f1b (0.030000, -0.864000) :b
be9374bc bf5ba5e3 (-0.288000, -0.858000) :f
be8d4fdf bf5ba5e3 (-0.276000, -0.858000) :b
be8a3d70 bf5ba5e3 (-0.270000, -0.858000) :e
be872b02 bf5ba5e3 (-0.264000, -0.858000) :11
be841893 bf5ba5e3 (-0.258000, -0.858000) :d
be810625 bf5ba5e3 (-0.252000, -0.858000) :e
be7be76c bf5ba5e3 (-0.246000, -0.858000) :f
be75c290 bf5ba5e3 (-0.240000, -0.858000) :11
be6f9db0 bf5ba5e3 (-0.234000, -0.858000) :1c
be6978d4 bf5ba5e3 (-0.228000, -0.858000) :17
be6353f8 bf5ba5e3 (-0.222000, -0.858000) :e
be5d2f1c bf5ba5e3 (-0.216000, -0.858000) :d
be570a3c bf5ba5e3 (-0.210000, -0.858000) :d
be50e560 bf5ba5e3 (-0.204000, -0.858000) :d
be4ac084 bf5ba5e3 (-0.198000, -0.858000) :e
be449ba4 bf5ba5e3 (-0.192000, -0.858000) :14
be3e76c8 bf5ba5e3 (-0.186000, -0.858000) :f
be3851ec bf5ba5e3 (-0.180000, -0.858000) :19
be322d10 bf5ba5e3 (-0.174000, -0.858000) :11
be2c0830 bf5ba5e3 (-0.168000, -0.858000) :11
be25e354 bf5ba5e3 (-0.162000, -0.858000) :11
be1fbe78 bf5ba5e3 (-0.156000, -0.858000) :13
be199998 bf5ba5e3 (-0.150000, -0.858000) :16
be1374bc bf5ba5e3 (-0.144000, -0.858000) :25
be0d4fe0 bf5ba5e3 (-0.138000, -0.858000) :51
be072b00 bf5ba5e3 (-0.132000, -0.858000) :ff
be010624 bf5ba5e3 (-0.126000, -0.858000) :ff
bdf5c290 bf5ba5e3 (-0.120000, -0.858000) :ff
bde978d8 bf5ba5e3 (-0.114000, -0.858000) :ff
bddd2f18 bf5ba5e3 (-0.108000, -0.858000) :ff
bdd0e560 bf5ba5e3 (-0.102000, -0.858000) :ff
bdc49ba8 bf5ba5e3 (-0.096000, -0.858000) :ff
bdb851e8 bf5ba5e3 (-0.090000, -0.858000) :ff
bdac0830 bf5ba5e3 (-0.084000, -0.858000) :25
bd9fbe78 bf5ba5e3 (-0.078000, -0.858000) :1a
bd9374b8 bf5ba5e3 (-0.072000, -0.858000) :25
bd872b00 bf5ba5e3 (-0.066000, -0.858000) :10
bd75c290 bf5ba5e3 (-0.060000, -0.858000) :e
bd5d2f20 bf5ba5e3 (-0.054000, -0.858000) :e
bd449ba0 bf5ba5e3 (-0.048000, -0.858000) :d
bd2c0830 bf5ba5e3 (-0.042000, -0.858000) :c
bd1374c0 bf5ba5e3 (-0.036000, -0.858000) :b
bcf5c280 bf5ba5e3 (-0.030000, -0.858000) :b
bcc49ba0 bf5ba5e3 (-0.024000, -0.858000) :b
bc9374c0 bf5ba5e3 (-0.018000, -0.858000) :b
bc449b80 bf5ba5e3 (-0.012000, -0.858000) :b
bbc49b80 bf5ba5e3 (-0.006000, -0.858000) :c
00000000 bf5ba5e3 (0.000000, -0.858000) :e
3bc49b80 bf5ba5e3 (0.006000, -0.858000) :d
3c449bc0 bf5ba5e3 (0.012000, -0.858000) :c
3c9374c0 bf5ba5e3 (0.018000, -0.858000) :d
3cc49ba0 bf5ba5e3 (0.024000, -0.858000) :18
3cf5c2a0 bf5ba5e3 (0.030000, -0.858000) :12
be96872b bf5a1cac (-0.294000, -0.852000) :c
be9374bc bf5a1cac (-0.288000, -0.852000) :13
be90624e bf5a1cac (-0.282000, -0.852000) :d
be8d4fdf bf5a1cac (-0.276000, -0.852000) :c
be8a3d70 bf5a1cac (-0.270000, -0.852000) :e
be872b02 bf5a1cac (-0.264000, -0.852000) :15
be841893 bf5a1cac (-0.258000, -0.852000) :11
be810625 bf5a1cac (-0.252000, -0.852000) :15
be7be76c bf5a1cac (-0.246000, -0.852000) :23
be75c290 bf5a1cac (-0.240000, -0.852000) :13
be6f9db0 bf5a1cac (-0.234000, -0.852000) :25
be6978d4 bf5a1cac (-0.228000, -0.852000) :12
be6353f8 bf5a1cac (-0.222000, -0.852000) :f
be5d2f1c bf5a1cac (-0.216000, -0.852000) :e
be570a3c bf5a1cac (-0.210000, -0.852000) :e
be50e560 bf5a1cac (-0.204000, -0.852000) :e
be4ac084 bf5a1cac (-0.198000, -0.852000) :f
be449ba4 bf5a1cac (-0.192000, -0.852000) :1c
be3e76c8 bf5a1cac (-0.186000, -0.852000) :22
be3851ec bf5a1cac (-0.180000, -0.852000) :1a
be322d10 bf5a1cac (-0.174000, -0.852000) :14
be2c0830 bf5a1cac (-0.168000, -0.852000) :13
be25e354 bf5a1cac (-0.162000, -0.852000) :14
be1fbe78 bf5a1cac (-0.156000, -0.852000) :15
be199998 bf5a1cac (-0.150000, -0.852000) :17
be1374bc bf5a1cac (-0.144000, -0.852000) :1c
be0d4fe0 bf5a1cac (-0.138000, -0.852000) :94
be072b00 bf5a1cac (-0.132000, -0.852000) :ff
be010624 bf5a1cac (-0.126000, -0.852000) :ff
bdf5c290 bf5a1cac (-0.120000, -0.852000) :ff
bde978d8 bf5a1cac (-0.114000, -0.852000) :ff
bddd2f18 bf5a1cac (-0.108000, -0.852000) :ff
bdd0e560 bf5a1cac (-0.102000, -0.852000) :ff
bdc49ba8 bf5a1cac (-0.096000, -0.852000) :ff
bdb851e8 bf5a1cac (-0.090000, -0.852000) :46
bdac0830 bf5a1cac (-0.084000, -0.852000) :20
bd9fbe78 bf5a1cac (-0.078000, -0.852000) :16
bd9374b8 bf5a1cac (-0.072000, -0.852000) :13
bd872b00 bf5a1cac (-0.066000, -0.852000) :10
bd75c290 bf5a1cac (-0.060000, -0.852000) :f
bd5d2f20 bf5a1cac (-0.054000, -0.852000) :f
bd449ba0 bf5a1cac (-0.048000, -0.852000) :13
bd2c0830 bf5a1cac (-0.042000, -0.852000) :c
